ID_рейса,Дата,Регион_отправления,Регион_назначения,Тип_груза,Вид_транспорта,Перевозчик,Вес_тонн,Расстояние_км,Стоимость_тенге
HYR-20253577,2025-09-27 14:27,Порт Актау,Порт Роттердам (Нидерланды),Спецтехника и металлоконструкции,Ж/Д транспорт,KazMano-Trans LLC,15.87,3554,1717400.0
HYR-20253578,2025-03-03 03:39,Порт Баку (Азербайджан),Промзона Курык (Hyrasia HQ),Спецтехника и металлоконструкции,Морской фрахт,Caspian Sea Logistics,27.89,628,599600.0
HYR-20253579,2025-11-04 00:56,ВИЭ-Кластер Рахым (Мангистау),Жанаозен,Зеленый аммиак (ЖД цистерны),Ж/Д транспорт,KazMano-Trans LLC,52.72,263,679800.0
HYR-20253580,2025-05-18 17:03,ВИЭ-Кластер Абай (Мангистау),Астана (Логистический хаб),Спецтехника и металлоконструкции,Морской фрахт,Caspian Sea Logistics,12.49,1898,939100.0
HYR-20253581,2025-12-21 23:22,Астана (Логистический хаб),Порт Роттердам (Нидерланды),Оборудование опреснения воды,Ж/Д транспорт,Svevind Global Transport,9.83,4126,2032900.0
HYR-20253582,2025-11-25 20:53,Порт Актау,Порт Роттердам (Нидерланды),Оборудование опреснения воды,Морской фрахт,Mangystau Cargo Express,37.4,3752,5970500.0
HYR-20253583,2025-07-04 07:26,Атырау (Нефтемаш),Порт Актау,Зеленый аммиак (ЖД цистерны),Автотранспорт (Контейнеровоз),Kuryk Port Logistics,46.88,241,348200.0
HYR-20253584,2025-08-17 13:25,Жанаозен,Порт Актау,Спецтехника и металлоконструкции,Морской фрахт,Caspian Sea Logistics,59.66,82,250200.0
HYR-20253585,2025-02-26 22:12,ВИЭ-Кластер Абай (Мангистау),Порт Актау,Компоненты ветротурбин (Лопасти/Башни),Морской фрахт,Mangystau Cargo Express,44.72,205,489600.0
HYR-20253586,2025-08-23 11:09,ВИЭ-Кластер Абай (Мангистау),ВИЭ-Кластер Рахым (Мангистау),Солнечные панели и инверторы,Автотранспорт (Контейнеровоз),Kuryk Port Logistics,61.77,194,381700.0
HYR-20253587,2025-02-08 00:02,Порт Роттердам (Нидерланды),Порт Баку (Азербайджан),Модули электролизеров (Водород),Морской фрахт,Caspian Sea Logistics,19.67,4299,2977300.0
HYR-20253588,2025-05-07 07:30,ВИЭ-Кластер Абай (Мангистау),Жанаозен,Зеленый аммиак (ЖД цистерны),Ж/Д транспорт,KazMano-Trans LLC,25.51,154,188100.0
HYR-20253589,2025-07-06 20:05,Порт Баку (Азербайджан),Астана (Логистический хаб),Спецтехника и металлоконструкции,Ж/Д транспорт,Caspian Sea Logistics,55.36,726,2207700.0
HYR-20253590,2025-03-23 13:53,Порт Баку (Азербайджан),Атырау (Нефтемаш),Компоненты ветротурбин (Лопасти/Башни),Ж/Д транспорт,Caspian Sea Logistics,53.66,575,1601600.0
HYR-20253591,2025-12-08 19:59,Промзона Курык (Hyrasia HQ),Порт Роттердам (Нидерланды),Компоненты ветротурбин (Лопасти/Башни),Автотранспорт (Контейнеровоз),SilkWay Heavy Haulage,44.89,4293,6258100.0
HYR-20253592,2025-07-08 00:21,Промзона Курык (Hyrasia HQ),ВИЭ-Кластер Рахым (Мангистау),Модули электролизеров (Водород),Морской фрахт,Kuryk Port Logistics,35.36,97,155000.0
HYR-20253593,2025-09-30 01:35,Порт Актау,Атырау (Нефтемаш),Зеленый аммиак (ЖД цистерны),Морской фрахт,Kuryk Port Logistics,6.06,371,104800.0
HYR-20253594,2025-12-30 09:00,ВИЭ-Кластер Абай (Мангистау),ВИЭ-Кластер Рахым (Мангистау),Солнечные панели и инверторы,Ж/Д транспорт,Svevind Global Transport,21.83,447,446600.0
HYR-20253595,2025-08-14 23:57,Промзона Курык (Hyrasia HQ),ВИЭ-Кластер Абай (Мангистау),Солнечные панели и инверторы,Морской фрахт,Kuryk Port Logistics,14.5,221,141600.0
HYR-20253596,2025-04-19 22:37,Порт Роттердам (Нидерланды),ВИЭ-Кластер Рахым (Мангистау),Зеленый аммиак (ЖД цистерны),Ж/Д транспорт,KazMano-Trans LLC,8.07,4125,1241800.0
HYR-20253597,2025-12-03 17:35,ВИЭ-Кластер Рахым (Мангистау),ВИЭ-Кластер Абай (Мангистау),Оборудование опреснения воды,Ж/Д транспорт,KazMano-Trans LLC,51.56,213,513000.0
HYR-20253598,2025-11-04 16:26,Промзона Курык (Hyrasia HQ),ВИЭ-Кластер Абай (Мангистау),Спецтехника и металлоконструкции,Ж/Д транспорт,Mangystau Cargo Express,12.88,295,183200.0
HYR-20253599,2025-08-21 14:03,ВИЭ-Кластер Абай (Мангистау),Астана (Логистический хаб),Солнечные панели и инверторы,Автотранспорт (Контейнеровоз),Caspian Sea Logistics,26.44,2115,2482500.0
HYR-20253600,2025-03-25 09:02,Порт Баку (Азербайджан),ВИЭ-Кластер Рахым (Мангистау),Оборудование опреснения воды,Автотранспорт (Трал),Caspian Sea Logistics,63.65,799,2157800.0
HYR-20253601,2025-01-09 09:40,Жанаозен,Порт Баку (Азербайджан),Зеленый аммиак (ЖД цистерны),Автотранспорт (Трал),Kuryk Port Logistics,29.55,489,512600.0
HYR-20253602,2025-08-10 15:25,Астана (Логистический хаб),ВИЭ-Кластер Абай (Мангистау),Спецтехника и металлоконструкции,Морской фрахт,Caspian Sea Logistics,13.49,1840,1082700.0
HYR-20253603,2025-09-29 00:30,Атырау (Нефтемаш),Астана (Логистический хаб),Компоненты ветротурбин (Лопасти/Башни),Ж/Д транспорт,KazMano-Trans LLC,46.39,1705,2626400.0
HYR-20253604,2025-05-16 01:12,Промзона Курык (Hyrasia HQ),ВИЭ-Кластер Рахым (Мангистау),Зеленый аммиак (ЖД цистерны),Автотранспорт (Трал),SilkWay Heavy Haulage,53.6,269,458800.0
HYR-20253605,2025-06-12 15:16,Атырау (Нефтемаш),Порт Роттердам (Нидерланды),Компоненты ветротурбин (Лопасти/Башни),Автотранспорт (Трал),Mangystau Cargo Express,21.75,4407,4739500.0
HYR-20253606,2025-05-25 04:09,Астана (Логистический хаб),ВИЭ-Кластер Абай (Мангистау),Зеленый аммиак (ЖД цистерны),Морской фрахт,Caspian Sea Logistics,53.56,2039,5122600.0
HYR-20253607,2025-07-16 12:46,Порт Актау,Порт Роттердам (Нидерланды),Оборудование опреснения воды,Автотранспорт (Контейнеровоз),SilkWay Heavy Haulage,21.29,4326,5961500.0
HYR-20253608,2025-07-10 03:33,Порт Баку (Азербайджан),ВИЭ-Кластер Абай (Мангистау),Спецтехника и металлоконструкции,Морской фрахт,Kuryk Port Logistics,46.59,618,1531900.0
HYR-20253609,2025-07-09 14:22,Порт Баку (Азербайджан),Атырау (Нефтемаш),Оборудование опреснения воды,Морской фрахт,Svevind Global Transport,12.49,466,230000.0
HYR-20253610,2025-12-08 01:21,Астана (Логистический хаб),Жанаозен,Спецтехника и металлоконструкции,Ж/Д транспорт,KazMano-Trans LLC,30.67,2363,2898400.0
HYR-20253611,2025-05-23 04:00,ВИЭ-Кластер Абай (Мангистау),ВИЭ-Кластер Рахым (Мангистау),Зеленый аммиак (ЖД цистерны),Автотранспорт (Контейнеровоз),Svevind Global Transport,36.23,310,453100.0
HYR-20253612,2025-07-15 04:35,Атырау (Нефтемаш),Порт Актау,Компоненты ветротурбин (Лопасти/Башни),Морской фрахт,KazMano-Trans LLC,48.52,265,535300.0
HYR-20253613,2025-03-06 11:56,Атырау (Нефтемаш),Порт Актау,Зеленый аммиак (ЖД цистерны),Автотранспорт (Трал),Mangystau Cargo Express,44.0,102,246100.0
HYR-20253614,2025-12-31 07:44,Астана (Логистический хаб),Порт Баку (Азербайджан),Компоненты ветротурбин (Лопасти/Башни),Автотранспорт (Трал),Kuryk Port Logistics,56.2,705,1959300.0
HYR-20253615,2025-08-02 16:00,Атырау (Нефтемаш),Астана (Логистический хаб),Оборудование опреснения воды,Морской фрахт,Svevind Global Transport,16.06,2232,1270500.0
HYR-20253616,2025-05-07 13:00,ВИЭ-Кластер Абай (Мангистау),Жанаозен,Модули электролизеров (Водород),Ж/Д транспорт,Mangystau Cargo Express,44.67,40,73000.0
HYR-20253617,2025-03-21 02:56,Порт Баку (Азербайджан),Порт Роттердам (Нидерланды),Солнечные панели и инверторы,Ж/Д транспорт,Mangystau Cargo Express,12.67,3754,2027500.0
HYR-20253618,2025-01-12 07:19,Порт Актау,Промзона Курык (Hyrasia HQ),Оборудование опреснения воды,Морской фрахт,Mangystau Cargo Express,33.68,264,304300.0
HYR-20253619,2025-05-19 16:57,Порт Роттердам (Нидерланды),Порт Актау,Зеленый аммиак (ЖД цистерны),Автотранспорт (Контейнеровоз),Svevind Global Transport,36.47,3625,6286100.0
HYR-20253620,2025-03-14 01:11,Порт Баку (Азербайджан),Жанаозен,Зеленый аммиак (ЖД цистерны),Ж/Д транспорт,Svevind Global Transport,6.64,666,138900.0
HYR-20253621,2025-09-12 13:37,ВИЭ-Кластер Рахым (Мангистау),Порт Баку (Азербайджан),Компоненты ветротурбин (Лопасти/Башни),Автотранспорт (Трал),Svevind Global Transport,9.22,601,247400.0
HYR-20253622,2025-02-19 13:46,ВИЭ-Кластер Рахым (Мангистау),Астана (Логистический хаб),Солнечные панели и инверторы,Автотранспорт (Контейнеровоз),Caspian Sea Logistics,55.36,2319,4500200.0
HYR-20253623,2025-03-01 19:24,Порт Баку (Азербайджан),Жанаозен,Спецтехника и металлоконструкции,Морской фрахт,Mangystau Cargo Express,22.21,757,507900.0
HYR-20253624,2025-09-13 11:34,ВИЭ-Кластер Абай (Мангистау),ВИЭ-Кластер Рахым (Мангистау),Оборудование опреснения воды,Автотранспорт (Контейнеровоз),Kuryk Port Logistics,25.77,127,168900.0
HYR-20253625,2025-08-22 11:19,Порт Роттердам (Нидерланды),Астана (Логистический хаб),Солнечные панели и инверторы,Ж/Д транспорт,Caspian Sea Logistics,43.42,3890,6879200.0
HYR-20253626,2025-03-05 19:51,Порт Актау,ВИЭ-Кластер Рахым (Мангистау),Солнечные панели и инверторы,Ж/Д транспорт,KazMano-Trans LLC,18.24,408,375300.0
HYR-20253627,2025-11-23 17:29,Атырау (Нефтемаш),Астана (Логистический хаб),Оборудование опреснения воды,Автотранспорт (Трал),Svevind Global Transport,16.57,2388,1590500.0
HYR-20253628,2025-11-07 14:04,ВИЭ-Кластер Рахым (Мангистау),ВИЭ-Кластер Абай (Мангистау),Компоненты ветротурбин (Лопасти/Башни),Морской фрахт,Kuryk Port Logistics,30.29,395,632800.0
HYR-20253629,2025-06-03 12:54,ВИЭ-Кластер Рахым (Мангистау),Астана (Логистический хаб),Спецтехника и металлоконструкции,Автотранспорт (Контейнеровоз),SilkWay Heavy Haulage,8.54,2340,1020400.0
HYR-20253630,2025-09-19 03:16,ВИЭ-Кластер Рахым (Мангистау),Порт Роттердам (Нидерланды),Компоненты ветротурбин (Лопасти/Башни),Автотранспорт (Контейнеровоз),KazMano-Trans LLC,60.02,4332,9053000.0
HYR-20253631,2025-06-15 02:03,ВИЭ-Кластер Абай (Мангистау),Жанаозен,Компоненты ветротурбин (Лопасти/Башни),Автотранспорт (Контейнеровоз),Mangystau Cargo Express,61.41,359,747200.0
HYR-20253632,2025-08-20 10:32,Порт Баку (Азербайджан),Атырау (Нефтемаш),Модули электролизеров (Водород),Автотранспорт (Контейнеровоз),Mangystau Cargo Express,31.89,672,773500.0
HYR-20253633,2025-10-13 15:24,Порт Роттердам (Нидерланды),ВИЭ-Кластер Рахым (Мангистау),Солнечные панели и инверторы,Автотранспорт (Трал),Kuryk Port Logistics,17.55,4150,2839900.0
HYR-20253634,2025-02-27 12:06,Порт Баку (Азербайджан),Жанаозен,Модули электролизеров (Водород),Автотранспорт (Трал),Caspian Sea Logistics,33.23,524,776400.0
HYR-20253635,2025-06-09 18:57,ВИЭ-Кластер Рахым (Мангистау),Жанаозен,Компоненты ветротурбин (Лопасти/Башни),Автотранспорт (Трал),Svevind Global Transport,11.0,49,17800.0
HYR-20253636,2025-05-18 03:18,Астана (Логистический хаб),ВИЭ-Кластер Рахым (Мангистау),Спецтехника и металлоконструкции,Ж/Д транспорт,Kuryk Port Logistics,28.87,2277,2846500.0
HYR-20253637,2025-12-05 11:56,ВИЭ-Кластер Абай (Мангистау),Порт Баку (Азербайджан),Оборудование опреснения воды,Автотранспорт (Трал),Svevind Global Transport,9.42,687,288100.0
HYR-20253638,2025-08-05 12:33,Порт Актау,Атырау (Нефтемаш),Солнечные панели и инверторы,Автотранспорт (Трал),KazMano-Trans LLC,47.37,55,121200.0
HYR-20253639,2025-12-07 01:49,Атырау (Нефтемаш),ВИЭ-Кластер Рахым (Мангистау),Оборудование опреснения воды,Морской фрахт,Kuryk Port Logistics,21.54,407,383600.0
HYR-20253640,2025-10-31 21:05,Жанаозен,Промзона Курык (Hyrasia HQ),Зеленый аммиак (ЖД цистерны),Морской фрахт,KazMano-Trans LLC,36.24,290,532100.0
HYR-20253641,2025-06-11 06:04,Порт Роттердам (Нидерланды),Промзона Курык (Hyrasia HQ),Солнечные панели и инверторы,Морской фрахт,KazMano-Trans LLC,5.81,4293,1148300.0
HYR-20253642,2025-09-06 07:06,Порт Актау,ВИЭ-Кластер Абай (Мангистау),Оборудование опреснения воды,Морской фрахт,SilkWay Heavy Haulage,36.48,399,773100.0
HYR-20253643,2025-11-03 05:40,Жанаозен,Порт Актау,Компоненты ветротурбин (Лопасти/Башни),Автотранспорт (Трал),SilkWay Heavy Haulage,5.2,270,66700.0
HYR-20253644,2025-05-07 07:11,Порт Актау,Астана (Логистический хаб),Модули электролизеров (Водород),Автотранспорт (Трал),Mangystau Cargo Express,60.51,1952,4831300.0
HYR-20253645,2025-08-26 04:38,Порт Баку (Азербайджан),Промзона Курык (Hyrasia HQ),Оборудование опреснения воды,Ж/Д транспорт,Mangystau Cargo Express,35.07,499,616700.0
HYR-20253646,2025-12-13 04:32,Порт Баку (Азербайджан),Промзона Курык (Hyrasia HQ),Спецтехника и металлоконструкции,Автотранспорт (Контейнеровоз),Mangystau Cargo Express,11.0,493,164100.0
HYR-20253647,2025-09-04 16:39,ВИЭ-Кластер Рахым (Мангистау),Порт Актау,Зеленый аммиак (ЖД цистерны),Автотранспорт (Контейнеровоз),Kuryk Port Logistics,25.46,432,354800.0
HYR-20253648,2025-11-27 01:18,Промзона Курык (Hyrasia HQ),Атырау (Нефтемаш),Компоненты ветротурбин (Лопасти/Башни),Морской фрахт,Svevind Global Transport,7.76,44,15100.0
HYR-20253649,2025-07-24 05:07,Атырау (Нефтемаш),Порт Роттердам (Нидерланды),Зеленый аммиак (ЖД цистерны),Ж/Д транспорт,Mangystau Cargo Express,36.85,4018,8302600.0
HYR-20253650,2025-09-21 14:33,ВИЭ-Кластер Абай (Мангистау),Промзона Курык (Hyrasia HQ),Спецтехника и металлоконструкции,Автотранспорт (Трал),Caspian Sea Logistics,12.34,104,62300.0
HYR-20253651,2025-12-10 17:15,ВИЭ-Кластер Абай (Мангистау),Жанаозен,Спецтехника и металлоконструкции,Автотранспорт (Контейнеровоз),KazMano-Trans LLC,33.39,258,341600.0
HYR-20253652,2025-06-13 21:18,ВИЭ-Кластер Рахым (Мангистау),Порт Роттердам (Нидерланды),Модули электролизеров (Водород),Морской фрахт,Kuryk Port Logistics,23.33,4279,3804800.0
HYR-20253653,2025-11-24 12:04,Порт Баку (Азербайджан),Атырау (Нефтемаш),Зеленый аммиак (ЖД цистерны),Морской фрахт,Svevind Global Transport,50.7,607,963500.0
HYR-20253654,2025-10-31 04:47,ВИЭ-Кластер Рахым (Мангистау),Астана (Логистический хаб),Спецтехника и металлоконструкции,Автотранспорт (Контейнеровоз),SilkWay Heavy Haulage,33.94,1875,2766100.0
HYR-20253655,2025-07-25 23:49,Астана (Логистический хаб),ВИЭ-Кластер Абай (Мангистау),Оборудование опреснения воды,Автотранспорт (Контейнеровоз),KazMano-Trans LLC,55.89,2124,5380300.0
HYR-20253656,2025-06-30 03:58,Порт Роттердам (Нидерланды),Порт Баку (Азербайджан),Спецтехника и металлоконструкции,Автотранспорт (Контейнеровоз),Mangystau Cargo Express,61.48,3509,11206600.0
HYR-20253657,2025-04-15 12:48,Порт Баку (Азербайджан),Астана (Логистический хаб),Спецтехника и металлоконструкции,Автотранспорт (Трал),SilkWay Heavy Haulage,63.17,653,1756100.0
HYR-20253658,2025-11-22 00:11,Промзона Курык (Hyrasia HQ),Порт Роттердам (Нидерланды),Оборудование опреснения воды,Автотранспорт (Контейнеровоз),SilkWay Heavy Haulage,20.61,4179,2600500.0
HYR-20253659,2025-07-26 17:38,Астана (Логистический хаб),Порт Роттердам (Нидерланды),Компоненты ветротурбин (Лопасти/Башни),Ж/Д транспорт,SilkWay Heavy Haulage,51.05,3788,8958800.0
HYR-20253660,2025-08-03 15:06,Астана (Логистический хаб),Порт Роттердам (Нидерланды),Модули электролизеров (Водород),Ж/Д транспорт,Kuryk Port Logistics,31.29,4430,5097600.0
HYR-20253661,2025-07-11 08:33,Порт Баку (Азербайджан),ВИЭ-Кластер Рахым (Мангистау),Модули электролизеров (Водород),Автотранспорт (Контейнеровоз),KazMano-Trans LLC,30.57,502,513800.0
HYR-20253662,2025-07-27 11:43,Жанаозен,Астана (Логистический хаб),Солнечные панели и инверторы,Автотранспорт (Трал),Svevind Global Transport,57.09,1715,4823500.0
HYR-20253663,2025-06-10 13:02,Порт Роттердам (Нидерланды),Промзона Курык (Hyrasia HQ),Солнечные панели и инверторы,Морской фрахт,KazMano-Trans LLC,13.74,3827,1719300.0
HYR-20253664,2025-11-14 06:03,Порт Роттердам (Нидерланды),ВИЭ-Кластер Абай (Мангистау),Оборудование опреснения воды,Автотранспорт (Контейнеровоз),Caspian Sea Logistics,33.67,4044,4632200.0
HYR-20253665,2025-03-03 19:57,Порт Баку (Азербайджан),Порт Роттердам (Нидерланды),Спецтехника и металлоконструкции,Автотранспорт (Контейнеровоз),Mangystau Cargo Express,40.57,4448,8421800.0
HYR-20253666,2025-05-11 21:27,Атырау (Нефтемаш),ВИЭ-Кластер Рахым (Мангистау),Зеленый аммиак (ЖД цистерны),Автотранспорт (Контейнеровоз),Kuryk Port Logistics,8.97,74,23900.0
HYR-20253667,2025-01-13 13:14,Атырау (Нефтемаш),Жанаозен,Спецтехника и металлоконструкции,Ж/Д транспорт,Svevind Global Transport,56.87,222,684600.0
HYR-20253668,2025-07-22 20:27,Промзона Курык (Hyrasia HQ),Порт Баку (Азербайджан),Спецтехника и металлоконструкции,Ж/Д транспорт,Kuryk Port Logistics,23.86,501,616600.0
HYR-20253669,2025-12-03 13:52,Атырау (Нефтемаш),ВИЭ-Кластер Абай (Мангистау),Зеленый аммиак (ЖД цистерны),Морской фрахт,Svevind Global Transport,44.41,371,801000.0
HYR-20253670,2025-01-12 03:41,Порт Актау,Порт Роттердам (Нидерланды),Компоненты ветротурбин (Лопасти/Башни),Автотранспорт (Трал),Mangystau Cargo Express,60.68,3578,8375900.0
HYR-20253671,2025-11-10 12:02,Порт Актау,ВИЭ-Кластер Рахым (Мангистау),Модули электролизеров (Водород),Автотранспорт (Контейнеровоз),Caspian Sea Logistics,48.19,56,84800.0
HYR-20253672,2025-04-22 00:42,ВИЭ-Кластер Абай (Мангистау),Астана (Логистический хаб),Оборудование опреснения воды,Автотранспорт (Контейнеровоз),SilkWay Heavy Haulage,58.16,2069,4622000.0
HYR-20253673,2025-11-11 17:42,Порт Актау,Атырау (Нефтемаш),Зеленый аммиак (ЖД цистерны),Автотранспорт (Контейнеровоз),Mangystau Cargo Express,9.17,60,21700.0
HYR-20253674,2025-07-17 21:04,Жанаозен,ВИЭ-Кластер Рахым (Мангистау),Солнечные панели и инверторы,Морской фрахт,SilkWay Heavy Haulage,34.56,444,509200.0
HYR-20253675,2025-09-20 17:36,Жанаозен,Порт Актау,Оборудование опреснения воды,Автотранспорт (Контейнеровоз),Mangystau Cargo Express,38.89,56,71900.0
HYR-20253676,2025-12-15 17:35,Жанаозен,Порт Актау,Компоненты ветротурбин (Лопасти/Башни),Ж/Д транспорт,KazMano-Trans LLC,46.34,115,248900.0
HYR-20253677,2025-06-28 03:05,Порт Актау,Промзона Курык (Hyrasia HQ),Оборудование опреснения воды,Автотранспорт (Трал),Kuryk Port Logistics,12.01,83,49200.0
HYR-20253678,2025-05-24 10:28,Промзона Курык (Hyrasia HQ),ВИЭ-Кластер Рахым (Мангистау),Зеленый аммиак (ЖД цистерны),Ж/Д транспорт,Caspian Sea Logistics,44.41,67,215400.0
HYR-20253679,2025-11-18 07:16,Порт Баку (Азербайджан),Астана (Логистический хаб),Компоненты ветротурбин (Лопасти/Башни),Автотранспорт (Контейнеровоз),Kuryk Port Logistics,13.76,424,255000.0
HYR-20253680,2025-11-10 04:23,ВИЭ-Кластер Рахым (Мангистау),Атырау (Нефтемаш),Спецтехника и металлоконструкции,Морской фрахт,Caspian Sea Logistics,9.06,240,114200.0
HYR-20253681,2025-11-22 08:55,ВИЭ-Кластер Абай (Мангистау),Порт Актау,Солнечные панели и инверторы,Ж/Д транспорт,Mangystau Cargo Express,33.16,342,566200.0
HYR-20253682,2025-12-11 10:45,Порт Роттердам (Нидерланды),Жанаозен,Солнечные панели и инверторы,Автотранспорт (Трал),Caspian Sea Logistics,41.02,4112,5698500.0
HYR-20253683,2025-01-10 04:33,Астана (Логистический хаб),Промзона Курык (Hyrasia HQ),Зеленый аммиак (ЖД цистерны),Морской фрахт,SilkWay Heavy Haulage,62.49,1978,5593600.0
HYR-20253684,2025-12-02 13:56,Порт Роттердам (Нидерланды),Промзона Курык (Hyrasia HQ),Компоненты ветротурбин (Лопасти/Башни),Автотранспорт (Контейнеровоз),Caspian Sea Logistics,46.92,3574,7768900.0
HYR-20253685,2025-08-19 23:17,ВИЭ-Кластер Абай (Мангистау),Порт Роттердам (Нидерланды),Солнечные панели и инверторы,Автотранспорт (Контейнеровоз),Caspian Sea Logistics,40.48,4317,9008700.0
HYR-20253686,2025-10-19 00:08,Порт Роттердам (Нидерланды),Астана (Логистический хаб),Компоненты ветротурбин (Лопасти/Башни),Морской фрахт,Kuryk Port Logistics,17.87,3564,2931200.0
HYR-20253687,2025-09-15 08:48,Порт Роттердам (Нидерланды),ВИЭ-Кластер Абай (Мангистау),Оборудование опреснения воды,Ж/Д транспорт,Caspian Sea Logistics,14.12,3754,1776700.0
HYR-20253688,2025-05-31 21:54,Порт Роттердам (Нидерланды),Жанаозен,Модули электролизеров (Водород),Ж/Д транспорт,Svevind Global Transport,41.44,3771,5697800.0
HYR-20253689,2025-12-04 03:54,Порт Актау,Астана (Логистический хаб),Модули электролизеров (Водород),Морской фрахт,Mangystau Cargo Express,18.38,2335,1971600.0
HYR-20253690,2025-04-18 06:15,ВИЭ-Кластер Рахым (Мангистау),Промзона Курык (Hyrasia HQ),Модули электролизеров (Водород),Ж/Д транспорт,KazMano-Trans LLC,47.4,89,222700.0
HYR-20253691,2025-08-11 10:24,Атырау (Нефтемаш),Порт Роттердам (Нидерланды),Солнечные панели и инверторы,Автотранспорт (Трал),KazMano-Trans LLC,11.87,4024,2497500.0
HYR-20253692,2025-07-18 11:30,ВИЭ-Кластер Рахым (Мангистау),Атырау (Нефтемаш),Зеленый аммиак (ЖД цистерны),Морской фрахт,Svevind Global Transport,25.38,375,371000.0
HYR-20253693,2025-08-11 21:21,Порт Роттердам (Нидерланды),Атырау (Нефтемаш),Модули электролизеров (Водород),Автотранспорт (Трал),Kuryk Port Logistics,51.39,4257,11106100.0
HYR-20253694,2025-10-25 02:58,ВИЭ-Кластер Рахым (Мангистау),Порт Актау,Спецтехника и металлоконструкции,Морской фрахт,Svevind Global Transport,54.86,247,579700.0
HYR-20253695,2025-12-11 15:23,ВИЭ-Кластер Абай (Мангистау),Жанаозен,Зеленый аммиак (ЖД цистерны),Автотранспорт (Трал),KazMano-Trans LLC,25.71,74,79200.0
HYR-20253696,2025-07-08 10:45,Порт Баку (Азербайджан),Астана (Логистический хаб),Модули электролизеров (Водород),Автотранспорт (Контейнеровоз),SilkWay Heavy Haulage,17.4,513,346100.0
HYR-20253697,2025-04-09 22:42,Атырау (Нефтемаш),Порт Баку (Азербайджан),Оборудование опреснения воды,Автотранспорт (Контейнеровоз),KazMano-Trans LLC,62.49,431,1264600.0
HYR-20253698,2025-01-01 17:31,Порт Баку (Азербайджан),ВИЭ-Кластер Рахым (Мангистау),Модули электролизеров (Водород),Ж/Д транспорт,KazMano-Trans LLC,50.66,652,1486000.0
HYR-20253699,2025-02-24 05:56,Астана (Логистический хаб),Жанаозен,Зеленый аммиак (ЖД цистерны),Морской фрахт,Mangystau Cargo Express,53.42,1855,3901000.0
HYR-20253700,2025-09-24 22:10,ВИЭ-Кластер Рахым (Мангистау),Астана (Логистический хаб),Солнечные панели и инверторы,Автотранспорт (Контейнеровоз),KazMano-Trans LLC,18.37,2203,1985900.0
HYR-20253701,2025-06-08 23:31,Порт Баку (Азербайджан),Жанаозен,Спецтехника и металлоконструкции,Морской фрахт,KazMano-Trans LLC,30.47,721,867400.0
HYR-20253702,2025-08-02 03:01,Промзона Курык (Hyrasia HQ),Жанаозен,Оборудование опреснения воды,Морской фрахт,Caspian Sea Logistics,9.09,390,158100.0
HYR-20253703,2025-12-27 16:25,Промзона Курык (Hyrasia HQ),Порт Баку (Азербайджан),Зеленый аммиак (ЖД цистерны),Автотранспорт (Трал),Svevind Global Transport,11.56,752,346100.0
HYR-20253704,2025-09-24 01:52,Порт Баку (Азербайджан),Порт Актау,Компоненты ветротурбин (Лопасти/Башни),Автотранспорт (Контейнеровоз),KazMano-Trans LLC,18.26,702,422000.0
HYR-20253705,2025-12-30 14:02,Порт Роттердам (Нидерланды),Промзона Курык (Hyrasia HQ),Модули электролизеров (Водород),Ж/Д транспорт,KazMano-Trans LLC,23.19,3617,2854400.0
HYR-20253706,2025-06-07 08:12,Атырау (Нефтемаш),Промзона Курык (Hyrasia HQ),Оборудование опреснения воды,Ж/Д транспорт,SilkWay Heavy Haulage,64.83,74,222700.0
HYR-20253707,2025-04-02 05:39,Жанаозен,Порт Роттердам (Нидерланды),Солнечные панели и инверторы,Ж/Д транспорт,KazMano-Trans LLC,30.33,4367,6659700.0
HYR-20253708,2025-06-07 02:56,ВИЭ-Кластер Абай (Мангистау),Порт Актау,Компоненты ветротурбин (Лопасти/Башни),Морской фрахт,Mangystau Cargo Express,46.87,359,701900.0
HYR-20253709,2025-10-20 00:59,Порт Роттердам (Нидерланды),Промзона Курык (Hyrasia HQ),Модули электролизеров (Водород),Ж/Д транспорт,Kuryk Port Logistics,59.27,3717,8402400.0
HYR-20253710,2025-12-20 18:21,Атырау (Нефтемаш),ВИЭ-Кластер Абай (Мангистау),Оборудование опреснения воды,Морской фрахт,SilkWay Heavy Haulage,19.76,307,233000.0
HYR-20253711,2025-05-21 20:34,Порт Баку (Азербайджан),Астана (Логистический хаб),Спецтехника и металлоконструкции,Автотранспорт (Контейнеровоз),KazMano-Trans LLC,13.68,775,476500.0
HYR-20253712,2025-11-30 15:21,Порт Роттердам (Нидерланды),ВИЭ-Кластер Абай (Мангистау),Зеленый аммиак (ЖД цистерны),Морской фрахт,Kuryk Port Logistics,19.6,4192,3425600.0
HYR-20253713,2025-06-08 00:59,Порт Роттердам (Нидерланды),Промзона Курык (Hyrasia HQ),Модули электролизеров (Водород),Ж/Д транспорт,Mangystau Cargo Express,57.95,3543,6163300.0
HYR-20253714,2025-09-02 12:23,Порт Баку (Азербайджан),Порт Роттердам (Нидерланды),Оборудование опреснения воды,Автотранспорт (Контейнеровоз),Svevind Global Transport,44.94,3673,8135500.0
HYR-20253715,2025-07-05 12:16,Порт Баку (Азербайджан),Жанаозен,Модули электролизеров (Водород),Ж/Д транспорт,KazMano-Trans LLC,32.08,666,717000.0
